City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Airai,TL,-8.93,125.41,75.65,75.65,37,0,7.27,clear sky
287,Mount Gambier,AU,-37.83,140.77,48.2,48.2,81,75,11.41,drizzle
288,Loiza,PR,18.43,-65.88,82.4,80.01,88,40,10.29,scattered clouds
289,San Jeronimo,PE,-11.95,-75.28,48.16,48.16,60,13,3.56,few clouds
290,Uthal,PK,25.81,66.62,85.78,85.78,78,100,5.21,overcast clouds
291,Oleksandrivka,UA,48.96,32.23,60.91,60.91,47,0,8.57,clear sky
292,Puerto Ayacucho,VE,5.66,-67.62,73.29,73.29,91,96,3.33,overcast clouds
293,Kavieng,PG,-2.57,150.8,76.15,76.15,90,100,3.27,moderate rain
294,The Valley,AI,18.22,-63.06,84.2,80.01,74,20,10.29,few clouds
295,Saurimo,AO,-9.66,20.39,61.38,61.38,47,0,1.14,clear sky
296,Berlevag,NO,70.86,29.09,54.1,54.1,88,100,8.7,overcast clouds
297,Vytegra,RU,61.01,36.45,58.93,58.93,94,100,7.2,overcast clouds
298,Port Keats,AU,-14.25,129.55,91.65,91.65,20,0,5.48,clear sky
299,Ancud,CL,-41.87,-73.82,41.0,32.0,100,90,13.87,overcast clouds
300,Marathon,US,44.9,-89.77,75.2,70.0,83,1,4.52,clear sky
301,Asau,RO,46.43,26.4,62.01,62.01,93,11,2.91,light rain
302,Hamilton,US,39.18,-84.53,75.0,69.01,94,40,2.35,scattered clouds
303,Sakakah,SA,29.97,40.21,80.6,80.6,19,0,8.05,clear sky
304,Polunochnoye,RU,60.87,60.42,52.45,52.45,73,0,1.95,clear sky
305,Sisimiut,GL,66.94,-53.67,44.2,44.2,87,46,4.38,scattered clouds
306,Manicore,BR,-5.81,-61.3,76.37,76.37,52,0,1.95,clear sky
307,Pekalongan,ID,-6.89,109.68,86.4,86.4,56,35,4.27,scattered clouds
308,Sao Filipe,CV,14.9,-24.5,79.11,79.11,86,89,15.23,overcast clouds
309,Geraldton,AU,-28.77,114.6,62.6,62.6,63,0,8.05,clear sky
310,Flinders,AU,-34.58,150.86,62.01,62.01,42,0,7.0,clear sky
311,Los Llanos De Aridane,ES,28.66,-17.92,79.0,73.4,69,1,9.17,clear sky
312,Yarada,IN,17.65,83.27,86.0,86.0,79,40,10.29,mist
313,Jurado,CO,7.11,-77.76,77.63,77.63,87,100,4.47,light rain
314,Menongue,AO,-14.66,17.69,53.49,53.49,44,9,4.05,clear sky
315,Angoche,MZ,-16.23,39.91,67.93,67.93,83,96,5.48,overcast clouds
316,Saint Anthony,US,45.02,-93.22,80.6,72.0,69,1,3.11,clear sky
317,Oranjestad,AW,12.52,-70.03,84.2,84.2,79,20,20.8,few clouds
318,Saint-Andre-Avellin,CA,45.72,-75.07,66.99,64.99,97,100,3.2,overcast clouds
319,Aguimes,ES,27.91,-15.45,78.8,73.99,44,0,24.16,clear sky
320,Esperance,AU,-33.87,121.9,59.0,59.0,82,40,9.17,scattered clouds
321,Karaton,ID,-6.34,106.1,84.2,84.0,66,75,2.24,haze
322,Scottsbluff,US,41.87,-103.67,86.0,82.99,30,1,10.29,clear sky
323,Krasnoshchekovo,RU,51.67,82.73,63.79,63.79,54,100,4.56,overcast clouds
324,Pandamatenga,BW,-18.53,25.63,54.36,54.36,57,2,1.88,clear sky
